Mycolicibacterium neoaurum
Brevundimonas vesicularis
Kushneria phosphatilytica
Polaromonas sp.
Anaplasma phagocytophilum
Microbacterium paludicola
Geodermatophilus obscurus
Luteipulveratus mongoliensis
Bordetella holmesii
Xanthomonas campestris
Kocuria rosea
Flavobacterium arcticum
Devosia ginsengisoli
Sulfuriferula plumbiphila
Thiomicrorhabdus xiamenensis
Staphylococcus aureus
Betaproteobacteria bacterium
Cellvibrio sp.
Campylobacter curvus
Neisseria sp.
Pseudomonas phragmitis
Staphylococcus chromogenes
Comamonas sp.
Candidatus Xiphinematobacter
Streptococcus lactarius
Rufibacter sp.
Thermodesulfobium narugense
Geobacter sp.
Mycobacterium canettii
Mycobacterium mantenii
Ferriphaselus amnicola
Microbacterium aurum
Streptococcus pneumoniae
Bacteroides fragilis
Gemmata obscuriglobus
Candidatus Profftia
Catellatospora sp.
Streptococcus agalactiae
Sphingomonas alpina
Leptotrichia goodfellowii
Pseudomonas putida
Sutterella faecalis
Spiroplasma floricola
Gimesia benthica
Paralcaligenes sp.
Escherichia coli
Mycolicibacterium flavescens
Paenibacillus albus
Candidatus Nanopelagicus
Thermanaerosceptrum fracticalcis
Xanthomonas arboricola
Luteimicrobium xylanilyticum
Pseudomonas fluorescens
Gemella sanguinis
Neisseria animalis
Weeksella virosa
Streptococcus salivarius
Serratia sp.
Caloramator sp.
Janthinobacterium sp.
Malacoplasma iowae
Gramella salexigens
Wolbachia endosymbiont
Aggregatibacter aphrophilus
Pandoraea pnomenusa
[Brevibacterium] flavum
Pseudomonas knackmussii
Chlamydia trachomatis
Modestobacter marinus
Ruminiclostridium herbifermentans
Brenneria nigrifluens
Neisseria weaveri
Pseudomonas muyukensis
Streptococcus merionis
Koleobacter methoxysyntrophicus
Bifidobacterium breve
Zhongshania aliphaticivorans
Corynebacterium ulcerans
Candidatus Pelagibacter
Shewanella psychropiezotolerans
Synechocystis sp.
Moorella thermoacetica
Sedimentibacter sp.
Nocardia brasiliensis
Stella vacuolata
Helicobacter cinaedi
Bordetella bronchialis
Olleya sp.
Actinobacillus pleuropneumoniae
Candidatus Cyclonatronum
Mycolicibacterium fallax
Streptococcus suis
Paenibacillus sp.
Bifidobacterium breve
Acidipropionibacterium virtanenii
Pseudomonas putida
Azotobacter vinelandii
Leptotrichia trevisanii
Maribacter cobaltidurans
Mycoplasmopsis bovirhinis
Candidate division
Wolbachia pipientis
Thermosulfurimonas marina
Candidatus Planktophila
Paenibacillus yonginensis
Gemella haemolysans
Roseburia intestinalis
Lacinutrix venerupis
Staphylococcus xylosus
Elizabethkingia ursingii
Methylomonas denitrificans
Parascardovia denticolens
Thauera chlorobenzoica
Halomonas axialensis
Dokdonia sp.
Streptomyces sp.
Aerosticca soli
Corynebacterium macginleyi
Corynebacterium testudinoris
Cronobacter muytjensii
Corynebacterium glutamicum
Nonlabens tegetincola
Bacillus pumilus
Lacunisphaera limnophila
Faecalibacter bovis
Cyanobacterium endosymbiont
Mucilaginibacter celer
Microbacterium testaceum
Bifidobacterium bifidum
Mycobacterium fortuitum
Pseudomonas maumuensis
Nocardia gipuzkoensis
Methylococcus capsulatus
Serratia symbiotica
Xanthomonas oryzae
Cedecea neteri
Luteitalea pratensis
Clostridium sticklandii
Anatilimnocola aggregata
Clostridium isatidis
Hafnia paralvei
Fusobacterium necrophorum
Prosthecochloris sp.
Porphyromonas cangingivalis
Rhodanobacter glycinis
Candidate division
Bacillus subtilis
Chryseobacterium nakagawai
Pirellulimonas nuda
Escherichia coli
Mannheimia varigena
Bacteriovorax stolpii
Streptomyces albulus
Streptococcus ruminantium
Candidatus Acetothermia
Haemophilus influenzae
Aeromicrobium sp.
Cloacibacillus porcorum
Hankyongella ginsenosidimutans
Fictibacillus phosphorivorans
Pengzhenrongella sicca
Candidatus Hodgkinia
Desulfococcus multivorans
Subtercola sp.
Escherichia coli
Candidatus Thiothrix
Costertonia aggregata
Nordella sp.
Aeromonas hydrophila
Nocardioides dokdonensis
Bacillus subtilis
Slackia heliotrinireducens
Corynebacterium pseudotuberculosis
Brachyspira murdochii
Vibrio cholerae
Candidatus Melainabacteria
Sporosarcina pasteurii
Gardnerella vaginalis
Paenibacillus swuensis
Adhaeretor mobilis
Helicobacter pylori
Tetragenococcus halophilus
Mycobacterium heraklionense
Mycoplasma edwardii
Alcaligenes aquatilis
Gordonia jinghuaiqii
Mycoplasma hyorhinis
Chlamydia trachomatis
Acinetobacter wanghuae
Campylobacter upsaliensis
Rathayibacter toxicus
Rickettsia bellii
Treponema azotonutricium
Erythrobacter sp.
Bacteroidales bacterium
[Clostridium] hiranonis
Spiroplasma apis
Desulfonema limicola
Apilactobacillus kunkeei
Erythrobacter litoralis
Lysobacter antibioticus
Arachidicoccus soli
Salinispora arenicola
Mycoplasma flocculare
Pedobacter sp.
Rhodopirellula baltica
Mycobacterium intracellulare
Cognaticolwellia beringensis
Porphyromonas gingivalis
Neisseria meningitidis
Microlunatus phosphovorus
Pseudomonas protegens
Mycobacterium haemophilum
Halothiobacillus neapolitanus
Streptococcus vestibularis
Truepera radiovictrix
Rhodospirillum rubrum
Corallococcus coralloides
Pseudomonas mendocina
Malaciobacter halophilus
Methylomusa anaerophila
Bifidobacterium adolescentis
Streptococcus pyogenes
Desulfolutivibrio sulfoxidireducens
Salinivirga cyanobacteriivorans
Arthrobacter sp.
Streptococcus pantholopis
Sphingobium phenoxybenzoativorans
Paucimonas lemoignei
Chryseobacterium carnipullorum
Taylorella equigenitalis
Carnobacterium divergens
Anaplasma marginale
Staphylococcus lugdunensis
Microbacterium oxydans
Mycoplasma hyopneumoniae
Corynebacterium diphtheriae
Quatrionicoccus australiensis
Kytococcus sedentarius
Sphaerochaeta pleomorpha
Yersinia ruckeri
Nocardioides mesophilus
Lactobacillus koreensis
Nitratiruptor sp.
Lentilactobacillus hilgardii
Streptococcus pyogenes
Methylomonas paludis
Mycoplasma pneumoniae
Glycomyces sp.
Actinoplanes friuliensis
Psychrobacter sp.
Prosthecochloris sp.
Actinocatenispora thailandica
Pectobacterium carotovorum
Thermosipho ferrireducens
Actinoplanes ianthinogenes
Buchnera aphidicola
Treponema pallidum
Streptococcus thermophilus
Sediminispirochaeta smaragdinae
Flavobacterium psychrophilum
Shewanella sp.
Corynebacterium ulcerans
Bacillus amyloliquefaciens
Mannheimia haemolytica
Actinoalloteichus fjordicus
Candidatus Pseudothioglobus
Mucilaginibacter daejeonensis
Pseudomonas wenzhouensis
Tepidiforma bonchosmolovskayae
Chlamydia trachomatis
Pseudomonas aeruginosa
Streptococcus pneumoniae
Anaerotignum propionicum
Dickeya fangzhongdai
Brachybacterium ginsengisoli
Chlamydia trachomatis
Mycobacterium thermoresistibile
Marinomonas profundi
Rickettsia prowazekii
Streptococcus suis
Tsukamurella tyrosinosolvens
Kurthia sp.
Riemerella anatipestifer
Pseudomonas aeruginosa
Listeria monocytogenes
Streptococcus dysgalactiae
Candidatus Absconditicoccus
Altererythrobacter sp.
Prochlorococcus marinus
Cellulophaga algicola
Bacillus halotolerans
Bacillus amyloliquefaciens
Alteromonas mediterranea
Mucisphaera calidilacus
Salicibibacter cibarius
Hathewaya histolytica
Clostridium beijerinckii
Wolbachia endosymbiont
Oceanicoccus sagamiensis
Rickettsia rickettsii
Thermosynechococcus vulcanus
Synechococcus sp.
Corynebacterium pseudotuberculosis
Lysobacter enzymogenes
Mycobacterium chelonae
Stigmatella aurantiaca
Citrobacter werkmanii
Salmonella enterica
Candidatus Nanopelagicus
Anabaena sp.
Escherichia sp.
Lapidilactobacillus dextrinicus
Prochlorococcus sp.
Taylorella asinigenitalis
Sphingobacterium mizutaii
Candidatus Sulfidibacterium
Thermoanaerobacter pseudethanolicus
Aeoliella mucimassa
Pseudomonas sp.
Actinotignum schaalii
Candidatus Saccharibacteria
Raoultella ornithinolytica
Erwinia carotovora
Sulfurovum lithotrophicum
Paraglaciecola psychrophila
Halomonas huangheensis
Dyadobacter fermentans
Streptococcus pyogenes
Campylobacter lari
Cedecea lapagei
Parvimonas micra
Acidimicrobium ferrooxidans
Rathayibacter toxicus
Listeria grayi
Pigmentiphaga sp.
Coxiella-like endosymbiont
Acidovorax ebreus
Staphylococcus piscifermentans
Pandoraea fibrosis
Streptococcus pneumoniae
Chlorobaculum parvum
Methylomonas sp.
Echinicola strongylocentroti
Proteus hauseri
Mycoplasma haemofelis
Mycoplasma hyorhinis
Serratia sp.
Listeria monocytogenes
Cutibacterium acnes
Streptococcus pyogenes
Ferruginibacter lapsinanis
Streptococcus equi
Pseudomonas alkylphenolica
Bordetella bronchiseptica
Streptococcus mutans
Paenibacillus odorifer
Candidatus Atelocyanobacterium
Leucobacter triazinivorans
Cystobacter fuscus
Syntrophobotulus glycolicus
Mycobacterium sp.
Aminipila butyrica
Bordetella holmesii
Victivallales bacterium
Sphaerochaeta globosa
Hymenobacter sp.
Tumebacillus algifaecis
Azospira restricta
Anaeromyxobacter dehalogenans
Actinomyces gaoshouyii
Paenalcaligenes hominis
Brachyspira hampsonii
Wolbachia endosymbiont
Glycocaulis alkaliphilus
Francisella tularensis
Mannheimia ovis
Proteus vulgaris
Desulfovibrio desulfuricans
Pseudomonas simiae
Bacillus subtilis
Pandoraea pulmonicola
Apilactobacillus bombintestini
Malaciobacter canalis
Bordetella pertussis
Iocasia fonsfrigidae
Clostridium drakei
Deinococcus irradiatisoli
Actinobacillus indolicus
Sphingobacterium sp.
Mycobacterium shottsii
Syntrophobacter fumaroxidans
Streptomyces sp.
Peptoniphilus harei
Undibacterium parvum
Escherichia coli
Sulfidibacter corallicola
Streptococcus agalactiae
Bifidobacterium breve
Cellulosimicrobium sp.
Pseudomonas fluorescens
Elusimicrobium minutum
Azospirillum humicireducens
Salmonella enterica
Mycobacterium rhodesiae
Mycobacterium tuberculosis
Mycobacterium tuberculosis
Mesorhizobium sp.
Clostridium manihotivorum
Chlamydia muridarum
Chromobacterium sp.
Mycolicibacterium sediminis
Comamonas thiooxydans
Brenneria izadpanahii
Chromobacterium paludis
Kosakonia sp.
Nocardia otitidiscaviarum
Chlamydia trachomatis
Wenzhouxiangella marina
Helicobacter pylori
Bifidobacterium longum
Clostridium ljungdahlii
Heliomicrobium modesticaldum
Streptococcus dysgalactiae
Streptococcus pneumoniae
Streptococcus mitis
Buchnera aphidicola
Mycoplasma genitalium
Desulfotomaculum reducens
Zhouia spongiae
Chromobacterium haemolyticum
Brevundimonas mediterranea
